"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Georgia","3.0","5.0","13.0","5643260.0","3596265.0","70239.0","524641.0","1082095.0","688694.0","1847428.0","1799031.0","2834217.0","3579448.0","10748818.0","-36860.0","86821.0","585.0","1825.0","23057.0","36542.0","-447.0","19431.0","59197.0","-42973.0","71750.0","Georgia","-0.006531685585991076","0.024141991760896375","0.00832870627429206","0.003478569154907832","0.021307741002407368","0.05305984951226524","-0.00024195800864769832","0.01080081443843936","0.020886544678830166","-0.012005482409578237","0.006675152560960657"
"Hawaii","4.0","9.0","15.0","426813.0","42875.0","12625.0","839915.0","152756.0","92458.0","213787.0","215300.0","363793.0","525024.0","1410362.0","-892.0","1237.0","95.0","2439.0","3118.0","4596.0","-582.0","1491.0","6640.0","-7134.0","5011.0","Hawaii","-0.002089908226787844","0.02885131195335277","0.0075247524752475245","0.0029038652720811036","0.020411636858781324","0.04970905708537931","-0.002722335782811864","0.006925220622387367","0.018252137891603192","-0.013587950265130736","0.0035529885235138212"
"Idaho","4.0","8.0","16.0","1509014.0","22673.0","35737.0","41665.0","235229.0","122673.0","338610.0","288771.0","452049.0","622994.0","1825097.0","-10382.0","548.0","119.0","244.0","4351.0","5202.0","-3700.0","559.0","4956.0","-12402.0","-5385.0","Idaho","-0.006879989184990994","0.024169717284876286","0.0033298821949240285","0.005856234249369974","0.0184968690084981","0.04240541928541733","-0.01092702519122294","0.0019357899512070119","0.01096341325829722","-0.019907093808287077","-0.0029505281089169506"
"Illinois","2.0","3.0","17.0","7800762.0","1911066.0","90745.0","807461.0","2267453.0","784014.0","2048030.0","2052931.0","3283599.0","4540294.0","12708868.0","-61046.0","44512.0","383.0","2278.0","41955.0","37322.0","-9670.0","13516.0","54427.0","-70508.0","25087.0","Illinois","-0.007825645751017657","0.02329171258344819","0.004220618215879663","0.0028211888871412984","0.01850313986662568","0.04760374176991737","-0.00472161052328335","0.006583757564185061","0.016575410091183487","-0.01552939082799484","0.001973975967017676"
"Indiana","2.0","3.0","18.0","5366273.0","722177.0","37192.0","194894.0","502458.0","433702.0","1146791.0","1123140.0","1669835.0","2398904.0","6772372.0","-40915.0","17312.0","126.0","766.0","9205.0","18718.0","-10616.0","2774.0","20225.0","-45558.0","-14457.0","Indiana","-0.007624472329305646","0.023971962552116723","0.003387825338782534","0.003930341621599434","0.018319939178996054","0.04315866654984298","-0.00925713578149811","0.002469861281763627","0.012111975135267856","-0.018991172635503546","-0.002134702582787833"
"Iowa","2.0","4.0","19.0","2736272.0","151944.0","20317.0","101053.0","205829.0","204489.0","536153.0","528883.0","761268.0","1166501.0","3197294.0","-24205.0","3877.0","114.0","503.0","3928.0","8288.0","-6581.0","9.0","7085.0","-24899.0","-16098.0","Iowa","-0.00884597730050229","0.02551597957142105","0.005611064625682925","0.004977586019217638","0.019083802573981314","0.04053029747321372","-0.012274481351405289","1.7016996197646738e-05","0.00930684069210843","-0.021345030994401205","-0.005034882622617751"
"Kansas","2.0","4.0","20.0","2245495.0","204584.0","43176.0","107585.0","364906.0","195645.0","513503.0","493213.0","710475.0","1022217.0","2935053.0","-15431.0","5098.0","195.0","511.0","6902.0","8722.0","-4417.0","2159.0","9218.0","-18948.0","-3266.0","Kansas","-0.006871981456204534","0.024918859734876626","0.004516397998888271","0.004749732769438119","0.018914460162343178","0.04458074573845486","-0.008601702424328582","0.00437741908668263","0.01297441852281924","-0.018536181652232354","-0.0011127567372718652"
"Kentucky","3.0","6.0","21.0","3833427.0","419812.0","18355.0","87944.0","179703.0","284100.0","732558.0","730570.0","1117144.0","1653752.0","4518124.0","-24987.0","10300.0","103.0","543.0","3909.0","12347.0","-7028.0","1443.0","13635.0","-30988.0","-10591.0","Kentucky","-0.006518188555566599","0.024534791763932428","0.005611549986379733","0.0061743836987173655","0.02175255838800688","0.04346004927842309","-0.009593779605164368","0.0019751700726829734","0.012205230480582628","-0.018737996991084516","-0.0023441145041614617"
"Louisiana","3.0","7.0","22.0","2760080.0","1556160.0","44229.0","99578.0","259928.0","321669.0","782336.0","753052.0","1191316.0","1634197.0","4682570.0","-19717.0","36419.0","85.0","308.0","5408.0","16451.0","-1700.0","6395.0","22240.0","-21652.0","21734.0","Louisiana","-0.007143633517869047","0.023403120501747893","0.0019218160030749056","0.003093052682319388","0.02080576159551876","0.051142634198508403","-0.0021729793848167538","0.00849210944264141","0.0186684305423582","-0.013249320614344537","0.0046414682535445275"
"Maine","1.0","1.0","23.0","1276012.0","26689.0","12950.0","21040.0","24524.0","66507.0","185117.0","187501.0","322232.0","596501.0","1357858.0","-12658.0","642.0","58.0","31.0","420.0","2466.0","-2766.0","-551.0","2391.0","-13099.0","-11559.0","Maine","-0.009919969404676446","0.02405485405972498","0.004478764478764479","0.001473384030418251","0.017126080574131463","0.037078803734945195","-0.01494190160817213","-0.002938650993861366","0.007420119665334293","-0.02195972848327161","-0.008512672164541506"
