"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"Florida","3.0","5.0","12.0","11738003.0","3853059.0","134990.0","758354.0","5821791.0","1186051.0","3132268.0","3176301.0","5417287.0","8944252.0","21856159.0","-15709.0","143356.0","2769.0","8433.0","199531.0","80107.0","32839.0","59708.0","174666.0","-24729.0","322591.0","Florida","-0.0013383026056476557","0.037205763005445806","0.020512630565227053","0.011120136506169942","0.03427313003850533","0.06754094048232327","0.010484096507706236","0.018797966565511266","0.03224233827744404","-0.0027647924052229297","0.014759729740253079"
"Georgia","3.0","5.0","13.0","5643260.0","3596265.0","70239.0","524641.0","1082095.0","688694.0","1847428.0","1799031.0","2834217.0","3579448.0","10748818.0","-1530.0","136570.0","1706.0","6604.0","39748.0","46447.0","17296.0","33380.0","86969.0","-7138.0","176954.0","Georgia","-0.0002711198846057066","0.037975510703465956","0.02428850069049958","0.01258765517754045","0.03673244955387466","0.06744214411625482","0.009362205184721677","0.018554432914163237","0.03068537095077759","-0.001994162228365938","0.016462647334804625"
"Hawaii","4.0","9.0","15.0","426813.0","42875.0","12625.0","839915.0","152756.0","92458.0","213787.0","215300.0","363793.0","525024.0","1410362.0","1613.0","1739.0","264.0","10592.0","5677.0","5842.0","1344.0","3019.0","9914.0","-2100.0","18019.0","Hawaii","0.0037791726118932647","0.0405597667638484","0.020910891089108912","0.012610799902371073","0.037163842991437324","0.06318544636483593","0.006286631086081006","0.01402229447282861","0.02725176130381838","-0.003999817151215944","0.012776152505526949"
"Idaho","4.0","8.0","16.0","1509014.0","22673.0","35737.0","41665.0","235229.0","122673.0","338610.0","288771.0","452049.0","622994.0","1825097.0","2714.0","818.0","686.0","675.0","8244.0","6933.0","-483.0","2769.0","9347.0","-5992.0","12574.0","Idaho","0.0017985253947279483","0.036078154633264234","0.019195791476620868","0.016200648025921038","0.0350466991739964","0.05651610378811964","-0.001426419774962346","0.009588913014118454","0.02067696201075547","-0.00961807015797905","0.006889496832223164"
"Illinois","2.0","3.0","17.0","7800762.0","1911066.0","90745.0","807461.0","2267453.0","784014.0","2048030.0","2052931.0","3283599.0","4540294.0","12708868.0","-11466.0","70698.0","1783.0","10257.0","79259.0","48338.0","9690.0","29043.0","85387.0","-27474.0","144984.0","Illinois","-0.0014698564063356887","0.03699401276565017","0.019648465480191744","0.012702780691575197","0.03495507955401942","0.061654511271482394","0.004731376005234298","0.014147090184716389","0.026004088806215374","-0.006051149991608473","0.011408097086223572"
"Indiana","2.0","3.0","18.0","5366273.0","722177.0","37192.0","194894.0","502458.0","433702.0","1146791.0","1123140.0","1669835.0","2398904.0","6772372.0","-5845.0","26745.0","781.0","2181.0","17657.0","24106.0","-1678.0","9290.0","33464.0","-25390.0","39792.0","Indiana","-0.0010892103327579494","0.03703385735076027","0.02099913959991396","0.011190698533561834","0.035141245636451206","0.055581943362031996","-0.0014632134364500594","0.008271453247146393","0.020040303383268405","-0.01058400002667885","0.005875637073687033"
"Iowa","2.0","4.0","19.0","2736272.0","151944.0","20317.0","101053.0","205829.0","204489.0","536153.0","528883.0","761268.0","1166501.0","3197294.0","-2727.0","5671.0","466.0","1385.0","7190.0","10922.0","-2158.0","3359.0","13546.0","-14269.0","11400.0","Iowa","-0.0009966114479847033","0.03732296109092824","0.022936457154107397","0.013705679198044591","0.03493190949768983","0.05341118593176161","-0.0040249704841714955","0.006351121136432822","0.017793996332434833","-0.012232308416366553","0.0035655150886968793"
"Kansas","2.0","4.0","20.0","2245495.0","204584.0","43176.0","107585.0","364906.0","195645.0","513503.0","493213.0","710475.0","1022217.0","2935053.0","-901.0","7546.0","890.0","1760.0","12944.0","11248.0","-169.0","5271.0","15110.0","-10227.0","21233.0","Kansas","-0.0004012478317698325","0.03688460485668479","0.020613303687233648","0.01635915787516847","0.03547214899179515","0.057491885813590944","-0.0003291120012930791","0.010687066237102428","0.02126746190928604","-0.010004725024138711","0.007234281629667335"
"Kentucky","3.0","6.0","21.0","3833427.0","419812.0","18355.0","87944.0","179703.0","284100.0","732558.0","730570.0","1117144.0","1653752.0","4518124.0","429.0","15357.0","409.0","1584.0","6505.0","15670.0","-1876.0","5300.0","21861.0","-17422.0","23533.0","Kentucky","0.00011191030897418942","0.03658065991443789","0.022282756742032145","0.018011461839352316","0.036198616606289265","0.05515663498768039","-0.0025608893766773414","0.007254609414566708","0.019568650057646998","-0.010534832308592824","0.005208577719425142"
"Louisiana","3.0","7.0","22.0","2760080.0","1556160.0","44229.0","99578.0","259928.0","321669.0","782336.0","753052.0","1191316.0","1634197.0","4682570.0","-2609.0","54862.0","780.0","1056.0","9560.0","20628.0","4703.0","11348.0","32351.0","-6684.0","62346.0","Louisiana","-0.000945262456160691","0.03525472959078758","0.01763548802821678","0.010604752053666473","0.036779415838232125","0.06412803223189055","0.006011483556937172","0.015069344480859224","0.027155683294776533","-0.004090082162676837","0.013314483285887878"
"Maine","1.0","1.0","23.0","1276012.0","26689.0","12950.0","21040.0","24524.0","66507.0","185117.0","187501.0","322232.0","596501.0","1357858.0","-1601.0","951.0","283.0","190.0","823.0","3321.0","-1251.0","658.0","5176.0","-7359.0","545.0","Maine","-0.0012546903947611779","0.03563265764921878","0.021853281853281854","0.00903041825095057","0.0335589626488338","0.04993459335107583","-0.00675788825445529","0.003509314616988709","0.01606296084808461","-0.012336944950637132","0.00040136744784800767"
"Maryland","3.0","5.0","24.0","3096669.0","1962513.0","46855.0","464686.0","669273.0","378903.0","977011.0","947857.0","1601552.0","2216249.0","6121572.0","-4332.0","68564.0","904.0","4471.0","24363.0","24699.0","7302.0","15268.0","47659.0","-5126.0","89802.0","Maryland","-0.0013989225196493393","0.03493683863495427","0.01929356525450859","0.00962155089673457","0.03640218565518107","0.06518554880800627","0.007473815545577276","0.016107915012496612","0.029758009730561356","-0.0023129170052643","0.014669761296608127"
"Massachusetts","1.0","1.0","25.0","4991959.0","696290.0","42321.0","538782.0","885494.0","369568.0","994285.0","1205351.0","1780790.0","2619240.0","6969234.0","2395.0","26338.0","923.0","8883.0","31756.0","22405.0","2520.0","13913.0","43912.0","-19184.0","63566.0","Massachusetts","0.0004797715686366815","0.03782619310919301","0.021809503556154155","0.01648718776796552","0.035862467729877334","0.060624837648281235","0.002534484579371106","0.011542695862035207","0.02465871888319229","-0.007324261999664025","0.00912094499912042"
"Michigan","2.0","3.0","26.0","7630968.0","1487216.0","95495.0","378027.0","534020.0","591916.0","1574034.0","1640896.0","2407300.0","3844106.0","10058252.0","-21092.0","51576.0","1742.0","4427.0","18274.0","33278.0","-2749.0","13369.0","48498.0","-39676.0","52720.0","Michigan","-0.0027640005828880425","0.034679562350055405","0.01824179276401906","0.011710803725659807","0.03421969214636156","0.0562208151156583","-0.0017464679924321838","0.00814737801786341","0.020146221908362065","-0.0103212554492514","0.0052414674040777666"
"Minnesota","2.0","4.0","27.0","4581501.0","446728.0","88142.0","332527.0","327000.0","369718.0","958737.0","893674.0","1456032.0","2055650.0","5733811.0","-4341.0","17079.0","1759.0","4931.0","11444.0","20121.0","-2245.0","7187.0","28116.0","-23632.0","29547.0","Minnesota","-0.0009475060684260464","0.038231317490732615","0.019956433936148488","0.014828871039043446","0.03499694189602447","0.05442255989700258","-0.002341622363588763","0.008042082459599361","0.01931001516450188","-0.011496120448519933","0.00515311718506243"
"Mississippi","3.0","6.0","28.0","1698476.0","1139714.0","21454.0","40553.0","99299.0","191066.0","510201.0","488878.0","731085.0","1061218.0","2982448.0","-3604.0","38796.0","426.0","465.0","3581.0","12423.0","3349.0","7371.0","20327.0","-4383.0","39087.0","Mississippi","-0.0021219022229339714","0.034040118836830995","0.019856437028060035","0.011466475969718639","0.036062800229609566","0.0650194173741011","0.006564079647041068","0.015077381268946444","0.027803880533727267","-0.004130159872900761","0.013105676947259432"
"Missouri","2.0","4.0","29.0","4962540.0","772086.0","48076.0","161545.0","279010.0","384699.0","1002443.0","990908.0","1526530.0","2286573.0","6191153.0","-5429.0","28034.0","960.0","2266.0","9834.0","21301.0","-1952.0","8093.0","30466.0","-23301.0","34607.0","Missouri","-0.0010939962196778264","0.03630942667008597","0.019968383392961146","0.014027051286019375","0.03524604852872657","0.0553705624397256","-0.001947242885630405","0.008167256697897283","0.019957681801209277","-0.010190359109462064","0.005589750406749761"
"Montana","4.0","8.0","30.0","950590.0","10157.0","76108.0","13506.0","43733.0","65975.0","168907.0","170844.0","259552.0","421070.0","1086348.0","-107.0","387.0","1635.0","182.0","1538.0","3505.0","-764.0","1035.0","4596.0","-4961.0","3411.0","Montana","-0.0001125616722246184","0.03810180171310426","0.021482629946917537","0.01347549237375981","0.03516795097523609","0.05312618416066692","-0.004523199156932513","0.006058158319870759","0.01770743434841573","-0.01178188899707887","0.0031398778292039014"
"Nebraska","2.0","4.0","31.0","1547452.0","112551.0","31982.0","62677.0","228059.0","136313.0","346600.0","324912.0","481520.0","669991.0","1959336.0","850.0","4364.0","735.0","934.0","8223.0","7773.0","-117.0","3286.0","10186.0","-6767.0","14361.0","Nebraska","0.0005492900587546496","0.03877353377579942","0.0229816771934213","0.014901798107758827","0.03605645907418694","0.05702317460550351","-0.00033756491633006347","0.01011350765745802","0.021153846153846155","-0.01010013567346427","0.007329523879518367"
"Nevada","4.0","8.0","32.0","1542097.0","359154.0","59626.0","350668.0","932910.0","193733.0","513839.0","487712.0","855675.0","1103299.0","3154258.0","2980.0","14336.0","1302.0","4839.0","34354.0","13233.0","6250.0","10248.0","27212.0","-2219.0","54724.0","Nevada","0.0019324335628692617","0.03991602488069185","0.021836111763324725","0.013799377188679891","0.03682455971101178","0.0683053480821543","0.01216334299264945","0.021012400761104916","0.03180179390539632","-0.0020112408331739626","0.017349246637402522"
"New Hampshire","1.0","1.0","33.0","1240460.0","29026.0","6184.0","43708.0","56047.0","66853.0","189727.0","212242.0","326726.0","571882.0","1367430.0","-844.0","1078.0","114.0","467.0","1947.0","3477.0","-1015.0","920.0","5843.0","-6730.0","2495.0","New Hampshire","-0.0006803927575254341","0.03713911665403431","0.018434670116429495","0.010684542875446143","0.03473870144699984","0.05200963307555383","-0.005349792069657982","0.004334674569595085","0.01788348646878424","-0.011768161963481977","0.0018245906554631682"
"New Jersey","1.0","2.0","34.0","4929728.0","1433004.0","66651.0","997918.0","1943632.0","533003.0","1435350.0","1376171.0","2348014.0","3376293.0","9068831.0","-7129.0","53435.0","1476.0","11818.0","68553.0","34411.0","8658.0","20525.0","67983.0","-14231.0","117346.0","New Jersey","-0.001446124410920846","0.0372888003103969","0.022145204122968897","0.011842656410646968","0.03527056562147567","0.06456061222919945","0.006031978263141394","0.014914570936315328","0.028953404877483695","-0.0042149777877690114","0.012939484703155237"
"New Mexico","4.0","8.0","35.0","784486.0","63457.0","236323.0","49203.0","1032907.0","126018.0","349456.0","340312.0","505887.0","770091.0","2091764.0","-1993.0","2176.0","4184.0","486.0","34073.0","8820.0","4258.0","7178.0","16803.0","-202.0","36857.0","New Mexico","-0.002540516975446343","0.03429093717005216","0.01770458228780102","0.009877446497164807","0.032987480963920277","0.06999000142836738","0.01218465271736642","0.021092409318507723","0.03321492744427115","-0.00026230666245937167","0.017620056564698502"
"New York","1.0","2.0","36.0","10969364.0","3690087.0","224611.0","1994445.0","3898833.0","1183659.0","2934515.0","3308869.0","5152211.0","7278606.0","19857860.0","25480.0","145841.0","5514.0","29701.0","141076.0","79023.0","23754.0","56533.0","160112.0","-5709.0","313713.0","New York","0.0023228329372605378","0.039522374404722706","0.024549109349052363","0.014891862147113608","0.036184160747587804","0.0667616264481578","0.008094693671697026","0.017085294098980647","0.031076367019906598","-0.000784353487467243","0.015797925859080485"
"North Carolina","3.0","5.0","37.0","6715370.0","2438985.0","181341.0","386922.0","1055894.0","636726.0","1694457.0","1717685.0","2695123.0","3863475.0","10607466.0","-7755.0","85608.0","3657.0","5328.0","38660.0","40320.0","8831.0","23967.0","69748.0","-23274.0","119592.0","North Carolina","-0.0011548135099034007","0.03509984686252683","0.020166426787102752","0.013770217253089771","0.03661352370597806","0.06332394153843254","0.005211699087082174","0.013953082200752757","0.025879338345596845","-0.006024110418729253","0.011274323198396299"
"North Dakota","2.0","4.0","38.0","644856.0","29318.0","43057.0","15998.0","29649.0","55106.0","124522.0","139795.0","183834.0","255085.0","758342.0","922.0","1288.0","1124.0","247.0","1103.0","3007.0","-441.0","1199.0","3580.0","-2811.0","4534.0","North Dakota","0.0014297765702730532","0.04393205539259158","0.02610493067329354","0.015439429928741092","0.03720192923876016","0.05456756070119406","-0.003541542859896243","0.008576844665402912","0.01947409075579055","-0.011019856126389243","0.005978832769383735"
"Ohio","2.0","3.0","39.0","9350215.0","1641377.0","50137.0","337815.0","477819.0","721455.0","1884557.0","1871259.0","2881170.0","4425469.0","11783910.0","-7747.0","60656.0","1120.0","5176.0","17030.0","41107.0","-1287.0","16680.0","59994.0","-42877.0","73617.0","Ohio","-0.0008285370978100504","0.036954337729845126","0.02233879171071265","0.015321995766913843","0.03564111096461212","0.05697791269032718","-0.0006829191157391365","0.008913784783399839","0.020822790741261362","-0.00968869062239505","0.006247247305860279"
"Oklahoma","3.0","7.0","40.0","2709948.0","350319.0","409606.0","113742.0","445578.0","269321.0","692044.0","656668.0","988228.0","1357255.0","3963516.0","395.0","12771.0","8070.0","2328.0","16087.0","16123.0","1917.0","7802.0","23250.0","-11489.0","37603.0","Oklahoma","0.00014575925442111804","0.03645534498557029","0.019701859836037557","0.020467373529566915","0.03610366759579692","0.05986536512191771","0.0027700550832028023","0.011881194149859595","0.02352695936565246","-0.008464879481011305","0.009487283512921356"
"Oregon","4.0","9.0","41.0","3305784.0","119633.0","95337.0","259000.0","584955.0","245347.0","645129.0","674688.0","1157080.0","1583823.0","4306067.0","5133.0","4512.0","2121.0","4184.0","21261.0","14460.0","1011.0","7879.0","26404.0","-14415.0","35339.0","Oregon","0.0015527330279292294","0.03771534610015631","0.02224739607917178","0.016154440154440154","0.03634638561940662","0.058936934219697","0.0015671284347781606","0.01167799041927528","0.022819511183323538","-0.00910139579990946","0.008206792880835343"
"Pennsylvania","1.0","2.0","42.0","9810406.0","1647936.0","64718.0","540388.0","1038386.0","725727.0","1937138.0","2001707.0","3151829.0","5058890.0","12875291.0","-21203.0","57867.0","1325.0","8402.0","36473.0","41557.0","-561.0","17871.0","66467.0","-50338.0","74996.0","Pennsylvania","-0.0021612765057837566","0.035114834556681816","0.020473438610587473","0.01554808767034057","0.03512470314507322","0.05726257945480876","-0.0002896024960534562","0.008927880054373592","0.021088390264827183","-0.009950404140038624","0.005824800387035913"
"Rhode Island","1.0","1.0","44.0","767268.0","102892.0","13716.0","46162.0","177815.0","56674.0","148788.0","185697.0","263623.0","412062.0","1066844.0","172.0","4045.0","363.0","730.0","6406.0","3564.0","745.0","2228.0","6693.0","-3029.0","10201.0","Rhode Island","0.00022417199726822962","0.03931306612759009","0.026465441819772527","0.015813872882457433","0.03602620701290667","0.06288597946148146","0.005007124230448692","0.011998039817552248","0.02538852831505597","-0.0073508355538729605","0.009561847842796135"
"South Carolina","3.0","5.0","45.0","3363455.0","1431874.0","34729.0","110233.0","314823.0","308271.0","819923.0","819268.0","1278488.0","1981825.0","5207775.0","-6921.0","48728.0","719.0","1225.0","11313.0","19161.0","3692.0","10674.0","32305.0","-12391.0","53441.0","South Carolina","-0.0020577055438529726","0.03403092730226263","0.020703158743413285","0.011112824653234512","0.0359344774682917","0.06215634944577985","0.004502861854100934","0.013028703672058472","0.025268129227650163","-0.006252317939273145","0.010261772061965043"
"South Dakota","2.0","4.0","46.0","742865.0","25324.0","81588.0","17141.0","35499.0","63870.0","157758.0","140895.0","211483.0","320943.0","894949.0","360.0","1041.0","1801.0","271.0","1245.0","3433.0","-473.0","1062.0","3998.0","-3509.0","4511.0","South Dakota","0.0004846102589299536","0.04110725003948823","0.022074324655586605","0.015810046088326236","0.03507141046226654","0.05374980428996399","-0.0029982631625654482","0.007537527946343022","0.01890459280414974","-0.010933405620312642","0.005040510688318552"
"Tennessee","3.0","6.0","47.0","5140798.0","1216997.0","43750.0","156336.0","404606.0","426872.0","1105185.0","1115594.0","1753800.0","2512634.0","6914085.0","-1961.0","43751.0","943.0","2061.0","14984.0","25425.0","1792.0","12214.0","40278.0","-21608.0","58101.0","Tennessee","-0.00038145828721533115","0.03594996536556787","0.021554285714285713","0.013183143997543752","0.03703355857303154","0.05956117993215765","0.001621447992869972","0.010948427474511337","0.022966130687649675","-0.008599740352156342","0.008403281128305481"
"Texas","3.0","7.0","48.0","12218162.0","3943571.0","344741.0","1681923.0","11762733.0","2083628.0","5427175.0","5021700.0","7961993.0","8874454.0","29368950.0","2404.0","148864.0","7255.0","21589.0","416229.0","145251.0","64908.0","106665.0","262057.0","-2022.0","576859.0","Texas","0.00019675627152430946","0.037748527920506564","0.021044784345349118","0.012835902713738976","0.03538539895447767","0.06971062012988882","0.011959813346722742","0.021240814863492444","0.03291349289053633","-0.00022784500319681639","0.019641798566172777"
"Utah","4.0","8.0","49.0","2581240.0","59418.0","55170.0","143007.0","470334.0","262292.0","684650.0","623694.0","856185.0","841668.0","3268489.0","7426.0","2225.0","1173.0","2534.0","16528.0","14672.0","-1449.0","5352.0","17815.0","-7760.0","28630.0","Utah","0.002876911871813547","0.037446565013968834","0.021261555193039697","0.017719412336459055","0.035140984917101464","0.05593765726747289","-0.0021164098444460674","0.008581131131612617","0.020807418957351508","-0.009219787374594259","0.008759399220863218"
"Vermont","1.0","1.0","50.0","585456.0","11397.0","3918.0","13944.0","13475.0","30303.0","85024.0","102329.0","144872.0","264042.0","626570.0","-1569.0","376.0","77.0","159.0","462.0","1483.0","-721.0","247.0","2121.0","-3678.0","-548.0","Vermont","-0.0026799622858079855","0.03299113801877687","0.019652884124553342","0.01140275387263339","0.03428571428571429","0.04893904893904894","-0.008479958599924727","0.0024137829940681526","0.014640510243525319","-0.013929602108755426","-0.0008746029972708556"
"Virginia","3.0","5.0","51.0","5357512.0","1801932.0","60964.0","669485.0","857771.0","529221.0","1354469.0","1410148.0","2263147.0","3069683.0","8626668.0","-4141.0","62908.0","1198.0","7103.0","31180.0","32524.0","4316.0","18076.0","57775.0","-18655.0","94036.0","Virginia","-0.0007729334064020762","0.034911417300985834","0.019650941539269075","0.010609647714287847","0.03635002815436754","0.06145636699979782","0.0031864885796574157","0.012818512666755546","0.02552861126564028","-0.006077174744102241","0.010900616553227735"
"Washington","4.0","9.0","53.0","5398885.0","405341.0","172532.0","872707.0","1022632.0","482957.0","1220722.0","1251018.0","2121949.0","2674026.0","7750672.0","10005.0","15618.0","3674.0","12658.0","37359.0","28748.0","3134.0","15660.0","50159.0","-22285.0","75416.0","Washington","0.0018531604210869467","0.03853052121547043","0.02129460042195071","0.014504295256025219","0.03653220317768269","0.05952496806133879","0.00256733310286863","0.012517805499201451","0.02363817415027411","-0.008333875586849194","0.009730253067088893"
"West Virginia","3.0","5.0","54.0","1660913.0","73627.0","7481.0","17805.0","30743.0","97340.0","263696.0","262989.0","425241.0","737760.0","1787026.0","-3393.0","2512.0","124.0","239.0","1051.0","4931.0","-1909.0","651.0","6579.0","-9832.0","420.0","West Virginia","-0.002042852334830301","0.03411791869830361","0.016575324154524795","0.013423195731536086","0.034186644114107274","0.0506574892130676","-0.007239396881257206","0.002475388704470529","0.015471226904273107","-0.013326827152461505","0.00023502735830368445"
"Wisconsin","2.0","3.0","55.0","4797521.0","426669.0","77192.0","194759.0","423845.0","345107.0","933944.0","933197.0","1418572.0","2244482.0","5875302.0","-7200.0","16318.0","1560.0","2671.0","15032.0","19034.0","-1572.0","7711.0","27614.0","-25893.0","26894.0","Wisconsin","-0.0015007750878005537","0.038245103347091074","0.02020934811897606","0.013714385471274754","0.035465795278934516","0.055153908787709316","-0.001683184430758161","0.008262992701433889","0.019466054595748402","-0.011536292115508166","0.004577466826386116"
"Wyoming","4.0","8.0","56.0","479011.0","9395.0","17077.0","7626.0","57854.0","36555.0","95250.0","84698.0","140160.0","208510.0","565173.0","-516.0","313.0","345.0","80.0","1997.0","1958.0","-408.0","481.0","2517.0","-2498.0","2050.0","Wyoming","-0.00107721952105484","0.03331559340074508","0.020202611699947297","0.01049042748492001","0.034517924430462886","0.05356312405963617","-0.004283464566929134","0.005679000684785945","0.01795804794520548","-0.011980240755839049","0.003627207952255327"
"US total","","","","202182875.0","46934263.0","4834392.0","22487948.0","62076890.0","20466548.0","53568790.0","54035697.0","85320705.0","118700600.0","332092340.0","-66996.0","1727196.0","102580.0","305190.0","2216245.0","1292445.0","299666.0","796378.0","2312985.0","-636829.0","4064645.0","US total","-0.0003313633758546563","0.036800322186799864","0.021218800626842012","0.013571269375044801","0.035701611340387705","0.06314914464324907","0.005594040858492417","0.01473799810521552","0.027109304828177406","-0.0053650023673005864","0.012239502422729774"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010739300718206298","0.04393205539259158","0.029306781889911704","0.022743769658843456","0.03993272937074955","0.07178943429177322","0.020198906130465065","0.021976765604456328","0.03512855602024155","0.012182492805512044","0.026759927484389"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0035469239663749657","0.03299113801877687","0.016575324154524795","0.00903041825095057","0.032987480963920277","0.04893904893904894","-0.008479958599924727","0.0024137829940681526","0.014640510243525319","-0.013929602108755426","-0.0008746029972708556"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.005362971337188828"
