"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Alabama","3.0","6.0","1.0","3245949.0","1345097.0","42529.0","91695.0","225966.0","304826.0","792164.0","782508.0","1213378.0","1826565.0","4919441.0","-6556.0","47066.0","783.0","1089.0","8235.0","18852.0","2564.0","9826.0","30089.0","-11828.0","49503.0","Alabama","-0.0020197483078138317","0.03499078505118962","0.01841096663453173","0.011876329134631113","0.0364435357531664","0.06184511819857886","0.003236703510889159","0.012557060119513155","0.0247977134907671","-0.006475542890617087","0.010062728671814541"
"Alaska","4.0","9.0","2.0","470919.0","34885.0","121760.0","66378.0","54185.0","54997.0","128535.0","126861.0","195757.0","229311.0","735461.0","978.0","1321.0","2321.0","908.0","1939.0","3160.0","22.0","1312.0","4395.0","-1797.0","7092.0","Alaska","0.002076790276034732","0.03786727819979934","0.01906208935611038","0.013679231070535418","0.03578481129463874","0.05745767950979144","0.00017115960633290543","0.010342027888791669","0.022451304423341183","-0.007836518963329278","0.009642931440280314"
"Arizona","4.0","8.0","4.0","4019478.0","426839.0","403763.0","320382.0","2336873.0","443606.0","1204152.0","1203159.0","1811755.0","2645036.0","7307708.0","-3972.0","16007.0","8823.0","4732.0","82909.0","29646.0","11358.0","22060.0","53581.0","-14596.0","102049.0","Arizona","-0.000988188018444186","0.037501259257003226","0.02185192798745799","0.014769868469514518","0.035478607523814945","0.06682957399133466","0.009432364020489107","0.01833506627137394","0.029574087004037523","-0.00551826137716084","0.01396457001292334"
"Arkansas","3.0","7.0","5.0","2226347.0","491263.0","38632.0","70261.0","247821.0","198816.0","513022.0","487611.0","753014.0","1100320.0","3052783.0","-903.0","17855.0","822.0","1598.0","9002.0","11998.0","1323.0","5820.0","17514.0","-9013.0","27642.0","Arkansas","-0.00040559715084845265","0.03634509417562487","0.021277697245806585","0.022743769658843456","0.03632460525944129","0.06034725575406406","0.0025788367750310902","0.011935743861397712","0.023258531713885797","-0.008191253453540787","0.009054688787247571"
"California","4.0","9.0","6.0","15033317.0","2845872.0","759107.0","6816221.0","15915080.0","2477977.0","6523494.0","6806274.0","10914677.0","13325709.0","40048131.0","33375.0","110084.0","17485.0","93981.0","580695.0","174595.0","89491.0","146953.0","371715.0","9209.0","791963.0","California","0.002220068930895291","0.03868199272490119","0.023033643478455608","0.013787845200441712","0.036487092744742725","0.07045868464477273","0.01371826202338808","0.02159081459253624","0.0340564361180821","0.0006910701712006468","0.019775279900078234"
"Colorado","4.0","8.0","8.0","4019381.0","303044.0","108377.0","243222.0","1269927.0","346780.0","921983.0","994513.0","1635474.0","1928726.0","5827476.0","5127.0","11102.0","2321.0","3065.0","44741.0","20875.0","3239.0","13274.0","39756.0","-14441.0","62703.0","Colorado","0.0012755695466540743","0.03663494410052666","0.021415983096044363","0.012601656100188305","0.03523115895638096","0.060196666474421824","0.0035130799591749523","0.013347236285498531","0.024308549081183805","-0.00748732583062602","0.010759889873420327"
"Connecticut","1.0","1.0","9.0","2380102.0","471159.0","25624.0","198099.0","618000.0","186192.0","542939.0","577172.0","873329.0","1412617.0","3592249.0","-5496.0","17186.0","566.0","2938.0","21502.0","11497.0","2147.0","7183.0","22789.0","-10532.0","33084.0","Connecticut","-0.002309144734133243","0.036476009160389594","0.02208866687480487","0.014830968354206735","0.03479288025889968","0.061748087995187766","0.003954403717544697","0.01244516366005281","0.026094404285212102","-0.007455665619201808","0.009209829274084286"
"Delaware","3.0","5.0","10.0","614899.0","240145.0","7840.0","46049.0","96276.0","57057.0","148805.0","149812.0","235888.0","395717.0","987279.0","-2181.0","8193.0","163.0","484.0","3415.0","3580.0","722.0","2000.0","6048.0","-2903.0","9447.0","Delaware","-0.0035469239663749657","0.03411688771367299","0.020790816326530612","0.010510543117114378","0.035470937720719596","0.06274427327058905","0.004851987500420013","0.013350065415320534","0.025639286441022858","-0.007336050763550719","0.009568723734628205"
"District of Columbia","3.0","5.0","11.0","281117.0","330667.0","5323.0","38273.0","81462.0","48099.0","87579.0","157439.0","234567.0","192161.0","719845.0","3019.0","12664.0","156.0","823.0","3253.0","3453.0","1769.0","3460.0","8240.0","2341.0","19263.0","District of Columbia","0.010739300718206298","0.038298348489568056","0.029306781889911704","0.021503409714420087","0.03993272937074955","0.07178943429177322","0.020198906130465065","0.021976765604456328","0.03512855602024155","0.012182492805512044","0.026759927484389"
