"","","","","base population","","","","","","","","","","","undercounts","","","","","","","","","","","","undercount %","","","","","","","","","",""
"NAME","REGION","DIVISION","STATE","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total","","nh white","black","AIAN","Asian/HPI","Hispanic","age 0-4","age 5-17","age 18-29","age 30-49","age 50+","total"
"Idaho","4.0","8.0","16.0","1509014.0","22673.0","35737.0","41665.0","235229.0","122673.0","338610.0","288771.0","452049.0","622994.0","1825097.0","-4077.0","738.0","433.0","474.0","6559.0","6063.0","-2296.0","1399.0","7124.0","-8597.0","3693.0","Idaho","-0.0027017641983440844","0.0325497287522604","0.012116294036992473","0.011376455058202327","0.0278834667494229","0.049424078648113275","-0.006780662118661587","0.004844669305435795","0.01575935352141029","-0.013799490845818739","0.002023454095864494"
"Illinois","2.0","3.0","17.0","7800762.0","1911066.0","90745.0","807461.0","2267453.0","784014.0","2048030.0","2052931.0","3283599.0","4540294.0","12708868.0","-27279.0","60362.0","1176.0","6567.0","63032.0","43622.0","612.0","21747.0","72869.0","-39435.0","99415.0","Illinois","-0.00349696606562282","0.03158551300687679","0.01295939170202215","0.008132900536372655","0.02779859163563699","0.055639312563296066","0.0002988237476990083","0.010593147066316403","0.022191808439459264","-0.00868556089099076","0.00782249056328227"
"Indiana","2.0","3.0","18.0","5366273.0","722177.0","37192.0","194894.0","502458.0","433702.0","1146791.0","1123140.0","1669835.0","2398904.0","6772372.0","-17736.0","23275.0","455.0","1783.0","14064.0","21878.0","-5733.0","6236.0","28523.0","-30461.0","20443.0","Indiana","-0.0033050871619837454","0.03222894110446608","0.012233813723381372","0.00914856280850103","0.02799039919754487","0.05044477544489073","-0.004999167241458993","0.005552290898730345","0.017081328394721634","-0.012697882032794976","0.003018587874381384"
"Iowa","2.0","4.0","19.0","2736272.0","151944.0","20317.0","101053.0","205829.0","204489.0","536153.0","528883.0","761268.0","1166501.0","3197294.0","-11704.0","5100.0","280.0","1022.0","5733.0","9740.0","-4357.0","1556.0","10776.0","-17747.0","-32.0","Iowa","-0.004277352543899144","0.03356499763070605","0.013781562238519467","0.01011350479451377","0.027853217962483422","0.047630923912777706","-0.008126411677263766","0.0029420495648375916","0.014155330317312694","-0.015213874655915425","-1.0008463406868434e-05"
"Kansas","2.0","4.0","20.0","2245495.0","204584.0","43176.0","107585.0","364906.0","195645.0","513503.0","493213.0","710475.0","1022217.0","2935053.0","-6169.0","6746.0","563.0","1063.0","10310.0","10143.0","-2181.0","3629.0","12724.0","-12603.0","11712.0","Kansas","-0.002747278439720418","0.032974230633871664","0.013039651658328702","0.00988055955755914","0.02825385167687021","0.05184390094303458","-0.004247297484143228","0.007357875806193267","0.017909145290122806","-0.012329084724671964","0.003990387907816316"
"Kentucky","3.0","6.0","21.0","3833427.0","419812.0","18355.0","87944.0","179703.0","284100.0","732558.0","730570.0","1117144.0","1653752.0","4518124.0","-9343.0","13686.0","253.0","978.0","5201.0","14174.0","-4488.0","3292.0","18385.0","-21201.0","10162.0","Kentucky","-0.0024372447942793748","0.03260030680399798","0.013783710160719151","0.011120713181115256","0.028942199072914752","0.049890883491728266","-0.0061264773574242586","0.00450607060240634","0.016457144289366454","-0.012819939144442455","0.002249163590906314"
"Louisiana","3.0","7.0","22.0","2760080.0","1556160.0","44229.0","99578.0","259928.0","321669.0","782336.0","753052.0","1191316.0","1634197.0","4682570.0","-7947.0","49390.0","488.0","849.0","7674.0","18959.0","2036.0","9481.0","28884.0","-9992.0","49368.0","Louisiana","-0.00287926436914872","0.03173838165741312","0.011033484817653576","0.008525979634055715","0.029523560370564157","0.05893946883286857","0.0026024623691099477","0.012590100019653357","0.024245456285318084","-0.0061143179188310835","0.010542928349175773"
"Maine","1.0","1.0","23.0","1276012.0","26689.0","12950.0","21040.0","24524.0","66507.0","185117.0","187501.0","322232.0","596501.0","1357858.0","-6684.0","863.0","166.0","152.0","652.0","2915.0","-2086.0","-52.0","3836.0","-9546.0","-4933.0","Maine","-0.005238195252082268","0.03233541908651504","0.012818532818532818","0.007224334600760456","0.02658620127222313","0.04382997278481964","-0.011268549079771172","-0.00027733185423011077","0.011904466347228084","-0.016003326063158317","-0.0036329277435490307"
"Maryland","3.0","5.0","24.0","3096669.0","1962513.0","46855.0","464686.0","669273.0","378903.0","977011.0","947857.0","1601552.0","2216249.0","6121572.0","-11813.0","59697.0","600.0","3153.0","19527.0","22415.0","3075.0","12118.0","41497.0","-11375.0","67730.0","Maryland","-0.0038147441654242027","0.03041865200383386","0.012805463664496851","0.006785227013510199","0.029176434728429207","0.059157620815881634","0.0031473545333675873","0.012784628904993052","0.025910491822931755","-0.005132546027093526","0.011064151495726914"
"Massachusetts","1.0","1.0","25.0","4991959.0","696290.0","42321.0","538782.0","885494.0","369568.0","994285.0","1205351.0","1780790.0","2619240.0","6969234.0","-16703.0","23169.0","592.0","5537.0","25367.0","19862.0","-2573.0","8738.0","35457.0","-29099.0","32385.0","Massachusetts","-0.0033459810066549024","0.03327492854988583","0.01398832730795586","0.010276883786021063","0.028647286147619296","0.05374383063468698","-0.0025877892153658155","0.0072493406484916015","0.019910826094036917","-0.011109711213939921","0.0046468521504658905"
"Michigan","2.0","3.0","26.0","7630968.0","1487216.0","95495.0","378027.0","534020.0","591916.0","1574034.0","1640896.0","2407300.0","3844106.0","10058252.0","-35597.0","46333.0","1014.0","3197.0","14496.0","30420.0","-7685.0","9501.0","42132.0","-46727.0","27641.0","Michigan","-0.004664807924761314","0.03115418338694581","0.010618356982040944","0.008457067881394715","0.027145050747163026","0.0513924273038742","-0.004882359593248939","0.0057901292952143215","0.017501765463382214","-0.012155492070197857","0.002748091815556023"
"Minnesota","2.0","4.0","27.0","4581501.0","446728.0","88142.0","332527.0","327000.0","369718.0","958737.0","893674.0","1456032.0","2055650.0","5733811.0","-19872.0","15382.0","1196.0","3234.0","9131.0","17951.0","-6314.0","3928.0","22524.0","-30082.0","8007.0","Minnesota","-0.004337443121806587","0.03443258537633638","0.013569013637085611","0.009725526047508924","0.02792354740061162","0.04855322164460481","-0.006585747707661225","0.004395338792445567","0.01546944023208281","-0.014633814122053852","0.0013964534233862958"
"Mississippi","3.0","6.0","28.0","1698476.0","1139714.0","21454.0","40553.0","99299.0","191066.0","510201.0","488878.0","731085.0","1061218.0","2982448.0","-6617.0","35102.0","268.0","372.0","2862.0","11474.0","1689.0","6283.0","18357.0","-6294.0","31509.0","Mississippi","-0.003895845452040535","0.030798954825508856","0.012491843012957957","0.009173180775774913","0.028822042518051542","0.0600525472873248","0.0033104599951783707","0.012851877155445736","0.025109255421736188","-0.005930920885246952","0.010564811188661127"
"Missouri","2.0","4.0","29.0","4962540.0","772086.0","48076.0","161545.0","279010.0","384699.0","1002443.0","990908.0","1526530.0","2286573.0","6191153.0","-15458.0","24936.0","584.0","1711.0","7832.0","19449.0","-5145.0","5692.0","26372.0","-27618.0","18750.0","Missouri","-0.003114937108819274","0.03229692029126289","0.01214743323071803","0.010591476059302362","0.028070678470305723","0.05055640903667543","-0.005132461396807599","0.005744226507405329","0.017275782329859223","-0.012078337319648224","0.00302851504396677"
"Montana","4.0","8.0","30.0","950590.0","10157.0","76108.0","13506.0","43733.0","65975.0","168907.0","170844.0","259552.0","421070.0","1086348.0","-3116.0","351.0","1016.0","134.0","1226.0","3107.0","-1498.0","423.0","3620.0","-6211.0","-559.0","Montana","-0.003277964211700102","0.034557448065373635","0.01334945078046986","0.009921516363097882","0.028033750257242813","0.0470935960591133","-0.008868785781524745","0.002475942965512397","0.013947108864504993","-0.014750516541192676","-0.0005145680757915512"
"Nebraska","2.0","4.0","31.0","1547452.0","112551.0","31982.0","62677.0","228059.0","136313.0","346600.0","324912.0","481520.0","669991.0","1959336.0","-4118.0","3890.0","465.0","772.0","6572.0","6951.0","-1636.0","2088.0","8347.0","-8750.0","7000.0","Nebraska","-0.0026611487787666435","0.03456210962141607","0.014539428428491026","0.01231711792204477","0.028817104345805252","0.05099293537666987","-0.004720138488170802","0.006426355443935589","0.017334690147865095","-0.013059876923719871","0.003572638893992659"
